essay_id	essay_set	essay	rater1_domain1	rater2_domain1	rater3_domain1	domain1_score	rater1_domain2	rater2_domain2	domain2_score	rater1_trait1	rater1_trait2	rater1_trait3	rater1_trait4	rater1_trait5	rater1_trait6	rater2_trait1	rater2_trait2	rater2_trait3	rater2_trait4	rater2_trait5	rater2_trait6	rater3_trait1	rater3_trait2	rater3_trait3	rater3_trait4	rater3_trait5	rater3_trait6
80	1	Dear @CAPS1, @CAPS2 name is @PERSON1 and I do not believe that computers are very beneficial to our society. Computers donot benefit us because they are stoping many people @CAPS3 exercising and healthy life, playing sports, and enjoying the outdoors. Computers are stoping many people, particular the younger generations, @CAPS3 exercising. Now a days instead of bitting the gym many people are home on the computer talking to friends or playing computer games. As a result many people are not as healthy as they should be. It's also recorded that any person who is on the computer for large amounts of times are hurting thier eyes, resulting in an increase of people wearing glasses. If people were to go and start doing things besides the computer they will live a happier, healthier, and better life. Unfortunatly, many young people are not getting in to play sports. During this decade many sports games have come out for the computer. Now instead of pushing themselves to work hard for aspact, kids ethier play with no heart or dont play at all. The reason for this is because they can instead work extremly hard on thier custom @CAPS4 or @ORGANIZATION1 teams in @PERSON2 or @NUM1. Also the computer is not the only electronic stoping kids @CAPS3 playing sports, xbox, playstation, xbox @NUM2, psp, @NUM3, gamecube and gameboy are some of the few console systems that play games that distract kids. I myself, had been caught thinking more about on xbox game then @CAPS2 own hackey game! not olny are these electronics pulling kids in like magnets but the parents are they are alarming thier kids to play video games or stay on the computer for hours on end. Many of us dont know what its truly like to go outside and camp. do not to spend time with thier family. I came @CAPS3 on @CAPS5 family and many @CAPS5 families are very close, so its natural to be doing things with @CAPS2 father or brother or whole or cousin. However not to many families are as close as so they do not do something togther. If some fathers took thier sons fishing or camping, it would get them away @CAPS3 computers and the father/son band will become stronger. These are @CAPS2 reason sir and they should be thought over far quite sometime. Just remember that many people need to exercise, many play sports, and many families got to exprience the outdoors.	4	4		8																					
102	1	Dear Local Newspaper, Experts should not be concerned about other people that stay on the computer for a while. Maybe people know what they are doing and have to stay on computers for a long time. They also might like to learn things that they never thought about learning. Most people try not to be overweight. Experts should Not try to have less people on the computer. One reason is that people can chat with one another. It can be friends, families, and more. About @PERCENT1 of people chat online with families or friends. Chatting can also help you like if there is an emergency. You can tell someone what is going on and call the cops. Without a doubt chatting online is a great way to use the computer during the time your on it. Another reason is that you can search anything you need to know. Maybe if you have to search something for school, the computer can help you. This can have positive effects on people. It can make someone a better person. You can't agree that getting to search anything is a fantastic way of using a computer for a while. A third reason is that it can teach you hand-eye coordination and gives people the ability to learn about faraway places and people. Learning about things you have never dreamed about learning. There are many people and places in the world that you still have to learn about. Is it surprising to you that almost everyone and anyplace that is famous is on the internet. Using the computer this way is another terrific idea. These are all great ways of using the computer. Being on the for a while is not a waste of time. People can you their time wisly on the computer. Surprisingly it is true that all of the reasons are good for the time being on the computer. So you should try to make people be on the computer less often.	4	4		8																					
133	1	Dear @CAPS1 of the Newspaper, @CAPS2 is no doubt that computers don'@CAPS6 benefit society. First of all, most people only have a limited amount of time to things. Secondly, many friends would get mad if you can'@CAPS6 see them. Last but not least, you have to watch out for your health. To sum up, computers aren'@CAPS6 always a good thing. From my point of view, time is a big thing. When people get so involved with something, its hard to back away. Thats just like smoking. The nicotine attracks you so once you start, it is very hard to quit. Many lazy people like to put things on hold. In other words, you waste time. The time that you could be spending on homework or even working on a job, your wasting it. Other people know that they need to do something but keep putting it off. For example, you need to paint your house or fix the motor in the car but you keep putting it off. @NUM1 out of @NUM2 people do this in @LOCATION1 everyday. As you of all people can see, many @CAPS3 don'@CAPS6 think too much about time. The next big topic is @CAPS4. You and I both know that every one needs a @CAPS5. When you don'@CAPS6 interact with your Friends, your friends might not bother trying to talk to you. The might not even go near you if you forget about them. Pets on the other hand need you. They usually just sleep around the house when they are lonely. I'm sure that you know pets need love and need you to play with them. Parents need to be @CAPS2 for their kids. When you were little, didn'@CAPS6 you need help? I know I did. Thats why parents need to interact a lot. In conclusion, the more you stick with your friends and stay away from the computer the better you will be. That leads us to the next big topic, health. Staying healthy's no joke. If you want to live long and watch you rkids grow up, the healthier you are the hotter you'll be. Everyone needs exercise. Exercise helps prevent against diseases as well as keepin gyou in shape. @NUM3 out of @NUM1 eople are over weight. When you are sitting in front of a computer screenplay games or sending e-mails, that's just as as palying video games on your @CAPS6.V. You know as well as anyone, most video games are not good for you. Last but not least, most people don'@CAPS6 eat healthy when they play video games or go on the computer. You and I both know, a healthy diet and exersice will give you a happy life. From my point of view, computers don'@CAPS6 benefit society. Time is a big thing which many @CAPS3 don'@CAPS6 realize. Secondly, @CAPS4 which everyone needs is another important thing to look into. Last but no least, everyone everywhere needds to stay healthy. For a long happy life. As you can see, many people would be better off without computers!	5	5		10																					
157	1	"Dear @CAPS1, @CAPS2 much time do you spend on the computer daily, @NUM1 hour, @NUM2 hours. While computers, are amazing advances in technology they are also very bad for you. People spend hours at at time on the computer causing less time exercing, horrible speaking, and dangerous searches. From @DATE2 to @DATE3 the numbers of obese people increased from @PERCENT2 of @LOCATION2 citizens to @PERCENT1. In a recent study the amount of families with computers is now @NUM3 out of @DATE1 compared to the @NUM4 out of @DATE1 in @DATE4. Scientist wonder if they were connected and relized they were. People who spent hours on the computer live a sedentary life style. They are more likly to go on the computer than go exercise. The lack of exercising causes obeseity, and cardovascular problems. Without this valuable exercise more people are . At a visit to the hospitial a surgen said he has seen a huge increase of heart surgreys in the @DATE1. We found that the computer manual booklets says to only go on for an @NUM1 hour at a time. The hottest thing online these days is social networking, whether @CAPS6's twitter, or facebook. These social networking allow teens to talk with there friends. But @CAPS6 really isn't talking. For example they write @CAPS3 @CAPS4 going @NUM2 dance. Not only is the spelling wrong but also the grammer. And this language doesnt just stay online, @CAPS6 is now now they talk. @PERSON1 the grandmother to a social networking said, ""I can't even have conversations with her because she is is talking like she is on the computer. @CAPS6's so sad."" @CAPS5 for public speaking and english class, @PERSON2 an english teacher for @NUM7 @DATE1 states @CAPS2 she has seen a drop in teens ability to write gramaticly correct and @CAPS2 when she corrects essay the are written is social networking form. ""@CAPS6's hard to see litiature dissolving because kid are spending so much time on the computer. The average day for children in @LOCATION1 @CAPS7 is to go home and going on the computer for hours at a time until a parent comes home. @CAPS2 would you like your child to be surfing the internent alone without you for hours when you don't know what they are doing. Parent blockers can only do so much. Children can find out the password and net around @CAPS6. The dangers are always there. You can get a lot of good information on the internet but you can also get a lot of bad information. You dont know what your child is searching or who they are talking to on the computer, @CAPS6 could be ""@CAPS8,"" the who lives four blocks over."	5	4		9																					
158	1	Dear newspaper, @CAPS1 some beleive computers do not benefil society, I do. Computers help buisnesses thrive, keep people people aware of what is going on in the world, and allow people to stay in touch with each other. Computers greatly benefit small and large buisnesses across the world. Imagine all the jobs at each buisnesses without a computer. Buisnesses would be unreliable because no instant contact would mean it might take a long time for products to be assembled and shipped. Any buisness owner would cringe at the idea of running of buisness without a computer. When surveyed, @NUM1 out of @NUM2 buisness owners and workers would prefer a computers assistance at work. Almost every modern day buisness relies on at least one computer. For example, companies that mass - produce their products often rely on computers to do jobs more precisely than a worker. Sometimes computer operated robots do dangerous jobs so workers are not at risk. Buisness also need computers to quickly recieve and send information to other buisnesses and people. Buisnesses are not the only need for computers. People use computers as much if not more, than buisnesses. People like you and me use computers to keep in touch with friend and people we know. Thanks to websites like @CAPS2 and e-mail people can easily stay in touch. Families use computers to plan get-togethers. Friends use computers to keep contact after grade school or if they do not live nearby. With computers, anyone that is anywhere can be in constant contact with anyone else. People also like to know news imediately. Without computers it would be alot harder to contact the rest of the world. Imagine a natural disaster accuring and not knowing about it right away. In that case we could not send aid to the area. With the recent earthquakes in @LOCATION1 and @LOCATION2. Knowledge about the rest of the world is even more important. Newspapers provide news and information but a day or two late and they often use computers to aquire that information. Eighty-seven percent of scientists agree that recieving information would be a lot harder.	5	4		9																					
168	1	Dear @LOCATION1 Newspaper: @CAPS1 you really think computers are that good? Computers are so helpful today almost everyone has one. Computers are wonderful they are great ways to find information, they connect people from all over the world, and offer many @ORGANIZATION1 opportunities, hopefully at the end of this letter you will agree with me. Firstly, they help people find information. Computers are great ways to find information with google and other programs like it the whole world is at your fingertips. In my school surveys show @PERCENT1 of all students use the computer to help them research for school projects and asignments with computers you can view many diffrent websites from all around the world about a topic and you can even find online books that you can use, this is one way computers are a great thing out there are two other great reasons. Secondly, with computers the wole world becomes smaller as people begin to know more and more people through the computer. More than @PERCENT2 of people email, @CAPS2, or videochat on a daily baes. Isnt it great when you mnake a great friend in collage but you find out he/she lives halfway around the world, to know that you can still keep in touch with the computer, did you know that many people in the in the military use videochat to keep in touch with their loved one back home? Computers are great because they connect people and allow them to be together even when they cannot be together, but there is still one even better reason why computers are good. Finally, computers ofter many opportunities like education and jobs. Today there are many single parrents more than in any other time according to @ORGANIZATION1 and the number is still drastickly increasing with this economy some of those parrents could really use a better education to help them bring in more money for their familys, but when can they find time to go to school with work and then the kids? Now there are many online collage courses you can take to get the education you have always wanted with kraigslist and other online adds many people can post job ofering while others can email those people their resume to try to get the job, but by seeing adds posted online people can apply easier from farther away. Computers open many great oppertunities for people. Computers are very cool machines that many people take fergranted, they help give people information, as well as connect people from around the world and offer many @ORGANIZATION1 oppertunities. So @LOCATION1 Newspaper I hope you can try to understand my view on why computers are so great.	5	4		9																					
178	1	"Dear, @ORGANIZATION1 play a big role in our world today. For example people use computers to get imformation, talk in chat rooms, mainly to talk to friends and fined friends. I think this @CAPS6 messing people up. My first reson for thinking computers @CAPS6 messing people up @CAPS6 because of the impformation that @CAPS6 on the website. For example people past, and blog lies about people online. This @CAPS6 ruining many people because this starts rumors and gossip about people. Also the lies that are being posted could interfear with many lives. Another reason computers effect the lives and people @CAPS6 the dangerous chat rooms. This @CAPS6 not good because your not familliar with the person your talking too. The person could have posed as another person and be very hipocritical. The result of this could be very unpleasent. Like you might give them you number, adress, @CAPS2 personal imformation. The outcome to endup in death, kidnapping, @CAPS2 ciber bullying. Lastly, I want to talk about the false imformation that @CAPS6 given to thousands of people online. Another words the""@CAPS1, @CAPS2 @CAPS3 Your @CAPS4 love"" @CAPS2""@CAPS6 Your @CAPS7 @CAPS8 On You?"" @CAPS9 these things are placed on either side of your screen to get money from you. On the other hand they attract the readers attention. For example these passages are set to copy down your number, get your account number then take your money. This doesnt help our peole because its only there for your money. In conclusion from my veiwible stand piont I dont prefer computers a magnificient way for people to spend there time on."	4	4		8																					
200	1	"Dear Readers of @LOCATION1 @CAPS1 has been borught to my attention that there is dilema on the effect of computers on people. Well I believe that having computers around are good because. Computers help students do there school work better. They also give the ability to learn about far away places. Lastly, computers allow people to talk to othe people online or webcam. My first reason I believe computers are good to have around is. They help students do there school work. Sometimes teachers give assignments out and you have to write an essay. @CAPS2 the student does @CAPS1 on a computer they might get a higher grade because @CAPS1 looks neater and more proffestional. Computers especially help out college students. A college university took poll one time. @PERCENT1 of student wouldn't know what to do @CAPS2 they didn't have there computer or laptop. One student even said ""@CAPS2 I didn't have my laptop I would probably fail most of my classes."" Computers can be very helpful when @CAPS1 comes to student school work. My second reason that I believe computers are good to have around is. They give the ability to learn about far away places or other coutries. I took a poll one time of how many people use a computer to find out whats going on in other countries, @PERCENT2 of them said they go on the computer to find out what's going on in another countries. Computers can be very handy when you want to know whats going on in other countries. My last reason why computers are good to have around is. Say you married and you are pregnant unless your guy of course, but your spouse is in @LOCATION2 and you couldn't them. Well computers these days have webcams. So now @CAPS2 you really need to talk to him or her you can by using webcam. So readers of the @LOCATION1 @ORGANIZATION1. Can you see now why I believe that having computers around is good. @CAPS1 helps students do there school work. @CAPS1 gives the ability to learn about far away places and countries. @CAPS1 also gives the change to talk to people with webcams."	4	4		8																					
222	1	"Computers and the @CAPS1 have changed the way the world works today. From stocks to instant messaging (@CAPS2) people have based important decisions in their life based on what they have read. Although some people believe that computers are pulling people away from the beauty of nature, relatives, or exersize. I believe that @CAPS11 is only helping the world on a day today basis. One example is conversation, many people have close relatives that but over seas, cross country, or even across town. The @CAPS1 helps them speak to others that they normally couldn't have a conversation with. On several occasions, my family have planned trips together even though we live across the continent. What could have taken months by letters in the mail took as little as one hour to do over the @CAPS1. Another way to speak to friends or family is a website called @CAPS3. @CAPS3 is a website that allows you to speak to, @CAPS6 or send pictures to others. Other websites like this are @CAPS4 and @CAPS5 @PERCENT1 of people in @LOCATION1 have an account on one of these websites. One other way to speak to others, more for business reason, is @CAPS6. Multiple servers proud @CAPS6. such as @ORGANIZATION3, @ORGANIZATION2, or @CAPS8. ""@ORGANIZATION3 is my personal favorite' says @PERSON2 @CAPS9 of the @LOCATION2 @CAPS10 newspaper, ""@CAPS11 has helped me endlessly if need to contact someone on short notice."" That is one reason why I support the use of computers. Another reason I support the use of computers is because <@PERCENT1@NUM1> of all students rely on the @CAPS1 for research papers and other assignments. ""Even though I still use books,"" college student, @PERSON1 said.""The @CAPS1 is so much faster and the articles are more up to date. Search @CAPS13 are most popularly used, such as @ORGANIZATION1 or @CAPS14.com @NUM2, of all computer users with @CAPS1 access have @ORGANIZATION1 at some paint. Another handy program provided by all computer companies is @CAPS15 @CAPS16. This program is used from everything to research papers to. This program also has a spell check, a punctuation check, and a check for mistakes. The main reason I am writing this paper is because experts have been complain that people have been spending too much time on the computer and @CAPS11 has been distracting them from the important things in life. Such as friends, family, and nature. However, from the examples explained in this paper, I have shown that the @CAPS1 increases conversation and curiosity of how the world looks and operates. As for exersise, @CAPS11 is commonsense to spend as little as one hour working on personal fitness."	5	4		9																					
234	1	Many people think that computers are not a good thing. They think people spend to much time on the computer and are getting less exercise. They are also concerned that looking at the screen could be damaging to your eyes. Those statements maybe true. I believe that computers are beneficial. You can talk to people from other places. You could learn about other places in the world. You can also use the computer to research topics. first off, on the computer you can talk to people. Whether it on a webcam or one of those networks to @LOCATION1 and chat with each other. On the computer you can chat and talk with people without having to be on the phone and paying a bill for it. For example, I have family in another country and one way we always talk is on the computer. We talk on webcam and chat. Calling someone from another country on the phone gets really expensive. If I didn't have a computer then I would not have that great of contact with @CAPS2 family from another country. In addition, You can use the computer to look at foreign countries. Many people including @CAPS2 parents have used the computer to look and read into about other countries. @CAPS2 mother, whenever @CAPS1 plans a vacation, looks up the country we are going to and gets more information about it. Like @DATE1 we went to a hot exotic place, @CAPS2 mom looked it up to see what we should pack to go there. If it weren't for the computer we might have packed the wrong items. Lastly, computers are a great source for researching. I can't tell you how many times I have used the computer to research. Books and encyclopedias are great sources but the computer has so much to offer. You have so many links you can go to and sites. You can find pictures, videos, maps, and much more. I have used the computer many times to research, sometimes its a requirement to have a few sites you have gone on to research for your project in school or something. If you have a computer at home you can build up your computer skills for school. Computers are a more positive thing than negative. You can talk to people without the expensive phone bill. You can learn about other places and cultures. Also, you can use it for researching purposes. Computers @CAPS3!	4	4		8																					
